;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME,
970,350970,275.6,554.6,2.01,2044.7,260.5,90.7,1693.6,2073.5,235.2,25.3,17.7,73.0,563.9,204.2,77.0,848.5,0.0,0.0,0.0,28.8,47302.0,0,0,0,35,SALT LAKE,
971,350971,408.0,967.4,2.37,1455.6,74.3,27.5,1353.8,1668.5,12.2,62.2,0.0,27.5,803.3,1.3,14.3,534.8,0.0,0.0,170.6,42.3,47302.0,0,0,0,35,SALT LAKE,
972,350972,65.1,158.5,2.43,1265.9,195.8,21.0,1049.1,1272.7,36.2,159.6,0.0,21.0,458.5,125.0,14.3,451.3,0.0,0.0,0.0,6.8,47302.0,0,0,0,35,SALT LAKE,
973,350973,211.4,464.6,2.20,1605.6,84.5,0.0,1521.1,1627.4,21.0,63.5,0.0,0.0,359.8,724.0,5.3,432.0,0.0,0.0,0.0,21.8,47302.0,0,0,0,35,SALT LAKE,
974,350974,477.0,945.4,1.98,5320.0,556.8,164.5,4598.7,5369.5,21.3,535.5,34.2,130.3,1115.8,25.0,47.5,3410.3,0.0,0.0,0.0,49.5,47302.0,0,0,0,35,SALT LAKE,
975,350975,33.8,81.8,2.42,3484.7,226.5,95.7,3162.6,3488.2,0.0,226.5,0.0,95.7,1424.3,10.3,4.3,1723.7,0.0,0.0,0.0,3.5,47302.0,0,0,0,35,SALT LAKE,
976,350976,136.6,305.9,2.24,1648.3,145.1,16.0,1487.2,1662.4,23.0,122.1,1.2,14.8,789.6,10.5,47.1,640.0,0.0,0.0,0.0,14.0,47302.0,0,0,0,35,SALT LAKE,
977,350977,466.2,1090.9,2.34,2448.4,271.4,96.5,2080.5,2519.6,6.0,265.4,0.3,96.2,1083.8,426.0,13.0,557.7,0.0,0.0,22.7,48.5,47302.0,0,0,0,35,SALT LAKE,
978,350978,155.4,345.9,2.23,3933.8,554.1,245.7,3134.0,3949.7,209.0,345.1,0.0,245.7,1530.6,520.0,6.0,1077.5,0.0,0.0,0.0,15.9,47302.0,0,0,0,35,SALT LAKE,
979,350979,122.4,221.3,1.81,3619.8,17.7,118.5,3483.7,3633.0,3.0,14.7,0.0,118.5,1046.2,1503.0,119.5,815.0,0.0,0.0,0.3,12.8,47302.0,0,0,0,35,SALT LAKE,
980,350980,269.1,629.3,2.34,270.5,29.7,0.2,240.6,298.4,3.5,26.3,0.0,0.2,198.2,0.0,4.7,37.6,0.0,0.0,0.0,27.9,47302.0,0,0,0,35,SALT LAKE,
981,350981,0.0,0.0,0.00,1496.5,215.4,1.8,1279.2,1500.2,74.8,140.7,0.0,1.8,751.4,303.0,4.4,220.4,0.0,0.0,3.8,0.0,47302.0,0,0,0,35,SALT LAKE,
982,350982,0.0,0.0,0.00,928.0,7.0,1.0,920.0,928.0,1.0,6.0,0.0,1.0,116.0,635.0,0.0,169.0,0.0,0.0,0.0,0.0,47302.0,0,0,0,35,SALT LAKE,
983,350983,21.5,50.3,2.34,566.5,17.2,48.2,501.2,568.6,17.0,0.2,47.2,1.0,209.8,1.2,0.3,289.8,0.0,0.0,0.0,2.1,21102.0,0,0,0,35,SALT LAKE,
984,350984,322.1,719.3,2.23,269.0,0.2,11.0,257.8,302.4,0.0,0.2,0.0,11.0,46.7,83.2,34.0,94.0,0.0,0.0,0.0,33.4,21102.0,0,0,0,35,SALT LAKE,
985,350985,229.6,348.7,1.52,1701.3,20.5,27.2,1653.7,1724.9,2.0,18.5,1.2,26.0,591.8,65.3,3.8,992.7,0.0,0.0,0.0,23.6,21102.0,0,0,0,35,SALT LAKE,
986,350986,358.5,655.6,1.83,1171.9,63.5,46.3,1062.1,1209.3,12.2,51.3,0.2,46.2,139.7,590.3,57.1,275.0,0.0,0.0,0.0,37.4,21102.0,0,0,0,35,SALT LAKE,
987,350987,245.6,484.4,1.97,1148.0,89.0,60.8,998.2,1173.6,1.2,87.8,60.7,0.2,825.3,1.0,14.0,158.0,0.0,0.0,0.0,25.6,21102.0,0,0,0,35,SALT LAKE,
988,350988,136.2,187.2,1.37,237.8,23.2,13.8,200.8,251.8,23.0,0.2,13.8,0.0,30.3,53.0,8.0,109.5,0.0,0.0,0.0,14.0,21102.0,0,0,0,35,SALT LAKE,
989,350989,251.0,436.0,1.74,527.3,139.5,1.0,386.8,553.2,62.0,77.5,1.0,0.0,119.4,50.2,144.4,72.8,0.0,0.0,0.0,25.9,21102.0,0,0,0,35,SALT LAKE,
990,350990,76.4,125.2,1.64,605.8,32.0,19.8,554.0,613.8,13.0,19.0,12.8,7.0,70.5,1.0,171.0,311.5,0.0,0.0,0.0,8.0,21102.0,0,0,0,35,SALT LAKE,
991,350991,101.4,139.8,1.38,3120.0,106.8,477.8,2535.4,3278.9,86.7,20.1,35.5,442.3,2010.9,14.8,10.0,499.8,0.0,0.0,148.3,10.6,47302.0,0,0,0,35,SALT LAKE,
992,350992,911.1,2124.9,2.33,2367.5,86.3,286.0,1995.2,2461.9,4.5,81.8,57.7,228.3,1337.9,72.8,1.3,583.1,0.0,0.0,0.0,94.4,47302.0,0,0,0,35,SALT LAKE,
993,350993,0.0,0.0,0.00,1511.5,169.4,176.1,1166.0,1511.5,140.2,29.2,57.7,118.4,727.5,0.5,64.3,373.6,0.0,0.0,0.0,0.0,47302.0,0,0,0,35,SALT LAKE,
994,350994,146.4,351.0,2.40,1757.4,198.1,87.6,1471.7,1965.3,155.4,42.7,3.7,84.0,1080.6,15.8,35.0,340.3,0.0,0.0,192.7,15.1,47302.0,0,0,0,35,SALT LAKE,
995,350995,248.0,593.4,2.39,266.0,49.0,2.7,214.3,291.8,13.3,35.7,0.0,2.7,155.4,0.0,4.4,54.5,0.0,0.0,0.0,25.8,47302.0,0,0,0,35,SALT LAKE,
996,350996,113.5,269.5,2.37,1062.0,134.7,1.2,926.2,1073.7,7.2,127.5,0.0,1.2,763.7,0.0,1.3,161.2,0.0,0.0,0.0,11.7,47302.0,0,0,0,35,SALT LAKE,
997,350997,0.0,0.0,0.00,1491.0,156.0,257.9,1077.1,1507.7,133.1,22.9,19.5,238.4,751.1,3.0,33.3,289.7,0.0,0.0,16.7,0.0,47302.0,0,0,0,35,SALT LAKE,
998,350998,118.2,295.4,2.50,654.0,69.0,21.0,564.0,666.2,56.5,12.5,3.2,17.8,472.7,0.2,5.2,85.9,0.0,0.0,0.0,12.2,47302.0,0,0,0,35,SALT LAKE,
999,350999,276.6,654.6,2.37,201.7,39.8,6.2,155.7,258.9,3.8,36.0,0.0,6.2,96.0,0.0,0.5,59.2,0.0,0.0,28.7,28.6,47302.0,0,0,0,35,SALT LAKE,
1000,351000,305.0,712.1,2.34,165.0,86.3,0.0,78.7,196.5,7.5,78.8,0.0,0.0,35.3,0.0,0.2,43.2,0.0,0.0,0.0,31.5,47302.0,0,0,0,35,SALT LAKE,
1001,351001,289.2,686.1,2.37,101.2,95.8,0.0,5.3,131.3,8.2,87.7,0.0,0.0,0.5,0.2,0.0,4.7,0.0,0.0,0.0,30.1,47302.0,0,0,0,35,SALT LAKE,
1002,351002,2.3,7.3,3.14,983.0,928.8,1.0,53.2,983.0,74.2,854.7,0.0,1.0,6.2,1.0,0.0,46.0,0.0,0.0,0.0,0.0,47302.0,0,0,0,35,SALT LAKE,
1003,351003,103.2,246.0,2.38,895.8,46.9,74.5,774.5,926.8,36.3,10.6,3.2,71.3,589.5,1.2,8.8,175.0,0.0,0.0,20.2,10.9,47302.0,0,0,0,35,SALT LAKE,
1004,351004,150.7,361.0,2.40,813.5,57.6,19.2,736.7,987.2,35.6,22.0,0.3,18.8,580.9,0.2,6.9,148.8,0.0,0.0,157.9,15.8,47302.0,0,0,0,35,SALT LAKE,
