TAZID,C_TOTHH,C_HHPOP,C_TOTEMP,C_RETL,C_FOOD,C_MANU,C_WSLE,C_OFFI,C_GVED,C_HLTH,C_OTHR,C_FM_AGRI,C_FM_MING,C_FM_CONS,C_HBJ,F_TOTHH,F_HHPOP,F_TOTEMP,F_RETL,F_FOOD,F_MANU,F_WSLE,F_OFFI,F_GVED,F_HLTH,F_OTHR,F_FM_AGRI,F_FM_MING,F_FM_CONS,F_HBJ,T_TOTHH,T_HHPOP,T_TOTEMP,T_RETL,T_FOOD,T_MANU,T_WSLE,T_OFFI,T_GVED,T_HLTH,T_OTHR,T_FM_AGRI,T_FM_MING,T_FM_CONS,T_HBJ
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,10,35,40,5,5,0,0,15,5,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,15,20,25,5,0,0,0,5,5,5,5,0,0,10,5,105,225,60,5,5,0,0,25,5,5,15,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,0,0,15,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,170,45,5,5,0,0,5,15,0,15,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,740,20,0,0,0,0,5,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,10,30,20,5,0,0,0,5,5,0,5,0,0,5,5,165,445,95,5,5,0,0,15,40,0,30,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,15,35,80,5,5,0,0,5,30,0,35,0,0,0,0,140,375,290,15,5,5,5,20,105,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
