TAZID,P_TOTHH,P_HHPOP,P_TOTEMP,P_RETL,P_FOOD,P_MANU,P_WSLE,P_OFFI,P_GVED,P_HLTH,P_OTHR,P_FM_AGRI,P_FM_MING,P_FM_CONS,P_HBJ,AREA,TOTHH_Orig,TOTHH_Pref,TOTEMP_Orig,TOTEMP_Pref,Den_TOTHH_Orig,Den_TOTHH_Pref,Den_TOTEMP_Orig,Den_TOTEMP_Pref,HHEmp_Orig,HHEmp_Pref,DenHHEmpO,DenHHEmpP,DenHHEmpC
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911.34,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,961,961,0,0,1.316438356,1.316438356,0,0,961,961,1.316438356,1.316438356,0
1354,80,195,200,10,15,5,0,100,30,15,25,0,0,40,20,739.44,1497,1577,1159,1359,2.024505031,2.132695012,1.567402359,1.837877313,2656,2936,3.591907389,3.970572325,0.378664936
1355,5,10,40,5,0,0,0,10,10,5,10,0,0,0,0,728.58,2024,2029,2281,2321,2.778006533,2.784869198,3.130747481,3.185648796,4305,4350,5.908754015,5.970517994,0.061763979
1356,5,10,10,0,0,0,0,5,0,0,5,0,0,5,0,417.66,1228,1233,335,345,2.939791536,2.951762996,0.802087823,0.826030743,1563,1578,3.741879359,3.777793739,0.03591438
1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.74,1538,1538,1186,1186,3.513501165,3.513501165,2.709370859,2.709370859,2724,2724,6.222872024,6.222872024,0
1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.83,1056,1056,375,375,2.668654051,2.668654051,0.947376399,0.947376399,1431,1431,3.61603045,3.61603045,0
1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.02,2606,2606,207,207,2.143056858,2.143056858,0.169816286,0.169816286,2813,2813,2.312873144,2.312873144,0
1360,140,370,75,5,5,0,0,10,30,0,25,0,0,10,5,637.98,1725,1865,859,934,2.703846516,2.923289131,1.346437192,1.463995737,2584,2799,4.050283708,4.387284868,0.33700116
1361,155,415,315,15,5,5,5,25,115,0,145,0,0,0,0,634.77,1417,1572,2829,3144,2.232304614,2.476487547,4.45673236,4.952975093,4246,4716,6.689036974,7.42946264,0.740425666
1362,80,215,0,0,0,0,0,0,0,0,0,0,0,70,10,275.46,487,567,0,0,1.768556838,2.05898013,0,0,487,567,1.768556838,2.05898013,0.290423292
1363,265,660,65,5,0,5,0,5,35,5,10,0,0,0,50,283.03,1196,1461,191,256,4.225700456,5.161996961,0.674840123,0.904497756,1387,1717,4.900540579,6.066494718,1.165954139
1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.81,221,221,0,0,0.939766904,0.939766904,0,0,221,221,0.939766904,0.939766904,0
1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.19,64,64,40,40,0.078605731,0.078605731,0.049128582,0.049128582,104,104,0.127734313,0.127734313,0
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.18,1928,1928,622,622,2.153756786,2.153756786,0.694832324,0.694832324,2550,2550,2.848589111,2.848589111,0
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.78,1143,1143,2,2,2.722854829,2.722854829,0.00404974,0.00404974,1145,1145,2.726904569,2.726904569,0
1368,10,30,30,0,0,0,5,5,10,0,10,0,0,0,0,243.62,429,439,992,1022,1.760939168,1.801986701,4.069862901,4.1930055,1421,1461,5.830802069,5.994992201,0.164190132
1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.64,1051,1051,1020,1020,4.176601494,4.176601494,4.053409633,4.053409633,2071,2071,8.230011127,8.230011127,0
1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.62,732,732,0,0,3.379189364,3.379189364,0,0,732,732,3.379189364,3.379189364,0
1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.54,1338,1338,0,0,4.964012762,4.964012762,0,0,1338,1338,4.964012762,4.964012762,0
1372,50,120,0,0,0,0,0,0,0,0,0,0,0,5,5,79.46,396,446,0,0,4.983639567,5.612886987,0,0,396,446,4.983639567,5.612886987,0.62924742
1373,65,145,405,5,0,25,50,40,155,0,130,0,0,20,0,823.74,909,974,4904,5309,1.103503533,1.182411926,5.95333479,6.44499478,5813,6283,7.056838323,7.627406706,0.570568383
1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.64,0,0,2568,2568,0,0,7.765243165,7.765243165,2568,2568,7.765243165,7.765243165,0
1375,0,0,55,0,0,5,10,10,25,0,5,0,0,0,0,653.02,0,0,2500,2555,0,0,3.828366666,3.912590732,2500,2555,3.828366666,3.912590732,0.084224067
1376,110,270,0,0,0,0,0,0,0,0,0,0,0,5,5,102.21,702,812,0,0,6.864951244,7.941166879,0,0,702,812,6.864951244,7.941166879,1.076215634
1377,115,290,15,0,0,5,0,5,5,0,0,0,0,5,5,100.98,492,607,39,54,4.872251931,6.011091305,0.386215092,0.534759358,531,661,5.258467023,6.545850663,1.28738364
1378,0,0,215,0,10,25,5,105,40,15,15,0,0,0,0,210.54,0,0,3500,3715,0,0,16.62391945,17.64510307,3500,3715,16.62391945,17.64510307,1.021183623
1379,95,235,0,0,0,0,0,0,0,0,0,0,0,5,5,162.9,400,495,0,0,2.455494168,3.038674033,0,0,400,495,2.455494168,3.038674033,0.583179865
1380,170,435,0,0,0,0,0,0,0,0,0,0,0,0,5,155.3,740,910,0,0,4.764971024,5.859626529,0,0,740,910,4.764971024,5.859626529,1.094655505
1381,120,300,35,0,5,0,0,15,5,5,5,0,0,10,5,168.94,501,621,363,398,2.962590269,3.672901622,2.147507991,2.354682136,863,1018,5.11009826,6.027583758,0.917485498
1382,165,430,25,0,5,0,0,5,5,5,5,0,0,0,5,169.37,717,882,192,217,4.230383185,5.204581685,1.13184153,1.279447364,908,1098,5.362224715,6.484029049,1.121804334
1383,25,90,25,0,5,0,0,5,5,5,5,0,0,0,5,114.85,358,383,71,96,3.118560441,3.33623567,0.616456247,0.834131476,429,479,3.735016689,4.170367146,0.435350457
1384,235,595,185,0,10,0,0,95,15,30,35,0,0,0,5,131.02,1023,1258,2365,2550,7.810512387,9.604131682,18.04686307,19.45886124,3388,3808,25.85737546,29.06299292,3.205617463
1385,60,190,0,0,0,0,0,0,0,0,0,0,0,5,5,159.92,850,910,0,0,5.315157579,5.690345173,0,0,850,910,5.315157579,5.690345173,0.375187594
1386,55,195,0,0,0,0,0,0,0,0,0,0,0,5,0,151.55,390,445,0,0,2.571208622,2.934125151,0.001979545,0.001979545,390,445,2.573188167,2.936104696,0.362916529
1387,60,160,10,0,0,0,0,5,0,5,0,0,0,0,0,66.08,250,310,203,213,3.783292978,4.691283293,3.064467312,3.215799031,453,523,6.847760291,7.907082324,1.059322034
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.84,711,711,0,0,1.570090981,1.570090981,0,0,711,711,1.570090981,1.570090981,0
1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.99,2161,2161,0,0,5.002430612,5.002430612,0,0,2161,2161,5.002430612,5.002430612,0
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.32,1337,1337,0,0,5.001496334,5.001496334,0,0,1337,1337,5.001496334,5.001496334,0
1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.27,2072,2072,3317,3317,2.925438039,2.925438039,4.683242266,4.683242266,5389,5389,7.608680306,7.608680306,0
1392,55,150,0,0,0,0,0,0,0,0,0,0,0,10,5,255.99,1045,1100,66,66,4.082190711,4.297042853,0.258603852,0.258603852,1111,1166,4.340794562,4.555646705,0.214852143
