TAZID,P_TOTHH,P_HHPOP,P_TOTEMP,P_RETL,P_FOOD,P_MANU,P_WSLE,P_OFFI,P_GVED,P_HLTH,P_OTHR,P_FM_AGRI,P_FM_MING,P_FM_CONS,P_HBJ,AREA,TOTHH_Orig,TOTHH_Pref,TOTEMP_Orig,TOTEMP_Pref,Den_TOTHH_Orig,Den_TOTHH_Pref,Den_TOTEMP_Orig,Den_TOTEMP_Pref,HHEmp_Orig,HHEmp_Pref,DenHHEmpO,DenHHEmpP,DenHHEmpC
1393,25,65,20,0,0,0,0,5,5,5,5,0,0,5,0,427.93,2882,2907,3329,3349,6.734746337,6.793167107,7.7793097,7.826046316,6211,6256,14.51405604,14.61921342,0.105157386
1394,135,340,225,25,25,0,0,30,55,25,65,0,0,20,5,245.22,795,930,3905,4130,3.241986787,3.792512846,15.92447598,16.84201941,4700,5060,19.16646277,20.63453226,1.468069489
1395,240,630,0,0,0,0,0,0,0,0,0,0,0,30,10,343.2,1049,1289,0,0,3.05604118,3.755341879,0,0,1049,1289,3.05604118,3.755341879,0.699300699
1396,210,550,10,0,0,0,0,0,10,0,0,0,0,5,5,287.51,961,1171,129,139,3.341333055,4.071742432,0.448680046,0.483461445,1090,1310,3.790013101,4.555203877,0.765190776
1397,55,115,5,0,0,0,0,0,5,0,0,0,0,0,5,238.83,1000,1055,483,488,4.187078675,4.417368002,2.023615124,2.044550517,1483,1543,6.210693799,6.461918519,0.251224721
1398,15,25,5,0,0,0,0,0,0,5,0,0,0,0,5,450.19,2761,2776,493,498,6.131855439,6.165174704,1.095759568,1.10686599,3254,3274,7.227615007,7.272040694,0.044425687
1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.31,63,63,0,0,0.098543742,0.098543742,0,0,63,63,0.098543742,0.098543742,0
1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.2,153,153,459,459,0.308966074,0.308966074,0.926898223,0.926898223,612,612,1.235864297,1.235864297,0
1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922.93,1929,1929,14,14,1.003156641,1.003156641,0.007280556,0.007280556,1943,1943,1.010437197,1.010437197,0
1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.23,2959,2959,497,497,5.810733853,5.810733853,0.975983347,0.975983347,3456,3456,6.7867172,6.7867172,0
1403,70,185,15,5,0,0,0,5,0,5,0,0,0,5,5,771.01,4013,4083,549,564,5.204861156,5.295651159,0.712053021,0.731508022,4562,4647,5.916914178,6.027159181,0.110245003
1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359.86,1826,1826,464,464,1.342540164,1.342540164,0.341211595,0.341211595,2290,2290,1.683751759,1.683751759,0
1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.25,798,798,2116,2116,0.997396647,0.997396647,2.643548891,2.643548891,2914,2914,3.640945538,3.640945538,0
1406,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,250.94,507,512,111,111,2.020403284,2.040328365,0.442336814,0.442336814,618,623,2.462740097,2.482665179,0.019925082
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.69,370,370,220,220,1.654819915,1.654819915,0.983503956,0.983503956,590,590,2.638323871,2.638323871,0
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.7,499,499,507,507,2.496244367,2.496244367,2.540310466,2.540310466,1006,1006,5.036554832,5.036554832,0
1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.56,175,175,152,152,1.16343429,1.16343429,1.011556854,1.011556854,327,327,2.174991144,2.174991144,0
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.54,191,191,468,468,1.512038354,1.512038354,3.700015805,3.700015805,660,660,5.212054159,5.212054159,0
1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.47,2701,2701,6149,6149,5.778267412,5.778267412,13.15378527,13.15378527,8850,8850,18.93205268,18.93205268,0
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.64,1054,1054,557,557,1.642665669,1.642665669,0.868088024,0.868088024,1611,1611,2.510753694,2.510753694,0
1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.09,2051,2051,581,581,3.140455374,3.140455374,0.88885146,0.88885146,2632,2632,4.029306834,4.029306834,0
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.63,820,820,820,820,1.480531522,1.480531522,1.481133609,1.481133609,1640,1640,2.961665131,2.961665131,0
1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.22,1396,1396,252,252,4.485037379,4.485037379,0.810680548,0.810680548,1648,1648,5.295717926,5.295717926,0
1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.6,1118,1118,230,230,3.645357688,3.645357688,0.750163079,0.750163079,1348,1348,4.395520766,4.395520766,0
1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.7,142,142,587,587,0.395409348,0.395409348,1.63507109,1.63507109,728,728,2.030480439,2.030480439,0
1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.46,139,139,1950,1950,0.451166008,0.451166008,6.320106335,6.320106335,2089,2089,6.771272342,6.771272342,0
1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.93,279,279,120,120,0.576688133,0.576688133,0.249104425,0.249104425,399,399,0.825792558,0.825792558,0
1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.83,1269,1269,500,500,3.713346789,3.713346789,1.461837756,1.461837756,1769,1769,5.175184545,5.175184545,0
1423,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,342.35,1685,1690,138,138,4.920403096,4.935008033,0.40221995,0.40221995,1822,1827,5.322623047,5.337227983,0.014604936
1424,60,150,15,5,0,0,0,0,5,0,5,0,0,15,5,332.23,1112,1172,221,236,3.346075511,3.52667329,0.665803811,0.710953255,1333,1408,4.011879322,4.237626545,0.225747223
1425,115,285,250,175,10,0,0,5,30,5,25,0,0,30,15,235.33,672,787,1696,1946,2.854148076,3.342823553,7.204776272,8.267114265,2367,2732,10.05892435,11.60993782,1.55101347
1426,35,50,85,55,5,0,0,5,15,0,5,0,0,10,10,394.93,585,620,404,489,1.480009116,1.568632416,1.021700048,1.236928063,988,1108,2.501709164,2.805560479,0.303851315
1427,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,250.13,694,699,2,2,2.77322459,2.793214195,0.005996882,0.005996882,695,700,2.779221472,2.799211077,0.019989605
1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.19,504,504,194,194,3.446428164,3.446428164,1.328408236,1.328408236,698,698,4.7748364,4.7748364,0
1429,0,0,40,5,5,5,5,5,5,0,10,0,0,0,0,970.35,0,0,1106,1146,0,0,1.140104086,1.181326326,1106,1146,1.140104086,1.181326326,0.041222239
1430,45,40,30,5,0,0,0,5,5,0,15,0,0,0,10,286.9,1950,1995,1272,1302,6.797955152,6.954804228,4.43185779,4.536423841,3222,3297,11.22981294,11.49122807,0.261415127
1431,5,15,10,5,0,0,0,0,0,0,5,0,0,0,0,223.95,812,817,267,277,3.624320905,3.646647317,1.192230409,1.236883233,1079,1094,4.816551314,4.88353055,0.066979236
1432,320,775,635,105,10,0,0,345,5,85,85,0,0,5,35,298.57,1383,1703,6710,7345,4.632637797,5.70441326,22.47479653,24.60160096,8093,9048,27.10743433,30.30601422,3.198579898
1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.61,967,967,44,44,3.015605668,3.015605668,0.1378622,0.1378622,1011,1011,3.153467868,3.153467868,0
1436,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,302.25,730,730,657,657,2.415219189,2.415219189,2.173035567,2.173035567,1387,1387,4.588254756,4.588254756,0
1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.95,752,752,294,294,2.336801781,2.336801781,0.912564063,0.912564063,1046,1046,3.249365843,3.249365843,0
1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.86,864,864,263,263,2.683361296,2.683361296,0.817125458,0.817125458,1127,1127,3.500486754,3.500486754,0
1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.07,560,560,2238,2238,1.739787417,1.739787417,6.948178967,6.948178967,2798,2798,8.687966384,8.687966384,0
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.82,1225,1225,1375,1375,3.82923728,3.82923728,4.297729973,4.297729973,2599,2599,8.126967253,8.126967253,0
1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,425,425,99,99,3.865151515,3.865151515,0.895454545,0.895454545,524,524,4.760606061,4.760606061,0
1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.45,1215,1215,1341,1341,3.754830731,3.754830731,4.144999227,4.144999227,2555,2555,7.899829958,7.899829958,0
1445,25,45,25,5,0,0,0,5,5,5,5,0,0,0,5,288.89,765,790,856,881,2.648643659,2.735181788,2.963065527,3.049603655,1621,1671,5.611709186,5.784785443,0.173076257
1455,5,10,25,5,5,0,0,5,5,0,5,0,0,0,5,273.64,544,549,729,754,1.988622521,2.006894704,2.66225698,2.753617892,1273,1303,4.650879501,4.760512596,0.109633095
1456,10,5,20,5,0,0,0,5,5,0,5,0,0,0,5,562.3,1640,1650,894,914,2.915999763,2.933783864,1.589898631,1.625466833,2534,2564,4.505898394,4.559250697,0.053352303
1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.88,1173,1173,651,651,2.608102901,2.608102901,1.44749711,1.44749711,1825,1825,4.055600011,4.055600011,0
1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.68,797,797,1,1,2.493639473,2.493639473,0.003128128,0.003128128,798,798,2.496767601,2.496767601,0
1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.46,350,350,2708,2708,0.633772168,0.633772168,4.910963624,4.910963624,3058,3058,5.544735792,5.544735792,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.6,1233,1233,345,345,4.860672977,4.860672977,1.36159306,1.36159306,1578,1578,6.222266037,6.222266037,0
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.9,438,438,111,111,3.346065699,3.346065699,0.849503438,0.849503438,549,549,4.195569137,4.195569137,0
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.22,158,158,472,472,1.693127369,1.693127369,5.065436602,5.065436602,630,630,6.75856397,6.75856397,0
1463,5,10,100,10,10,10,0,20,15,10,25,0,0,0,5,320.62,1231,1236,746,846,3.839436093,3.855030878,2.327365729,2.639261431,1977,2082,6.166801821,6.494292309,0.327490487
1464,5,5,40,10,5,0,0,5,10,5,5,0,0,5,10,270.39,692,697,807,847,2.558649851,2.577141659,2.984577832,3.132512297,1499,1544,5.543227683,5.709653957,0.166426273
1465,5,25,165,10,0,0,0,55,5,60,35,0,0,20,5,51.78,70,75,2742,2907,1.355092056,1.451654435,52.9586713,56.14522982,2812,2982,54.31376336,57.59688425,3.283120896
1466,55,125,385,5,5,5,0,260,25,10,75,0,0,0,20,109.41,601,656,1066,1451,5.493099351,5.995795631,9.743167901,13.26204186,1667,2107,15.23626725,19.25783749,4.02157024
1467,10,10,130,10,5,15,0,65,10,10,15,0,0,40,10,210.6,445,455,906,1036,2.113801836,2.161285217,4.30294397,4.92022792,1351,1491,6.416745806,7.081513137,0.664767331
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.62,548,548,250,250,2.639437434,2.639437434,1.201714671,1.201714671,798,798,3.841152105,3.841152105,0
1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.56,474,474,959,959,3.236444687,3.236444687,6.539983624,6.539983624,1433,1433,9.776428311,9.776428311,0
1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.51,400,400,94,94,2.954271517,2.954271517,0.695151649,0.695151649,495,495,3.649423167,3.649423167,0
1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.57,720,720,345,345,3.697897929,3.697897929,1.770571003,1.770571003,1064,1064,5.468468931,5.468468931,0
1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.48,86,86,303,303,0.626757831,0.626757831,2.201774804,2.201774804,389,389,2.828532635,2.828532635,0
1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.83,205,205,796,796,1.477826599,1.477826599,5.732190449,5.732190449,1001,1001,7.210017047,7.210017047,0
1474,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,88.03,631,636,1807,1807,7.1699042,7.226703018,20.52368511,20.52368511,2438,2443,27.69358931,27.75038813,0.056798819
1475,10,15,20,0,0,0,0,5,5,0,10,0,0,0,0,249.73,992,1002,1355,1375,3.973624848,4.013668095,5.425059064,5.505145557,2347,2377,9.398683912,9.518813652,0.12012974
1476,40,90,140,5,5,5,5,50,20,5,45,0,0,20,5,301.17,203,243,1631,1771,0.674591316,0.80740667,5.416210114,5.881063851,1834,2014,6.09080143,6.688470521,0.597669091
1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.17,491,491,1156,1156,3.450094957,3.450094957,8.132517409,8.132517409,1647,1647,11.58261237,11.58261237,0
1478,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,300.72,570,575,1146,1151,1.894342467,1.91096923,3.81018888,3.826815642,1715,1725,5.704531347,5.737784872,0.033253525
1481,0,0,60,0,5,10,10,0,15,0,20,0,0,0,0,468.4,5,5,2393,2453,0.010674637,0.010674637,5.108881298,5.236976943,2398,2458,5.119555935,5.24765158,0.128095645
1482,5,5,70,0,0,20,10,0,20,5,15,0,0,0,10,310.43,500,505,1259,1329,1.609058403,1.625165094,4.056631125,4.282124795,1759,1834,5.665689527,5.907289888,0.241600361
1483,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,153.9,403,408,0,0,2.620749404,2.653238033,0,0,403,408,2.620749404,2.653238033,0.032488629
1484,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,125.05,282,287,3,3,2.252432361,2.292416367,0.025589764,0.025589764,285,290,2.278022125,2.318006131,0.039984006
1485,0,0,10,0,0,5,0,0,5,0,0,0,0,0,0,434.81,126,126,1184,1194,0.290548362,0.290548362,2.721878522,2.744877073,1310,1320,3.012426884,3.035425435,0.022998551
1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.43,345,345,34,34,3.042992742,3.042992742,0.297981134,0.297981134,379,379,3.340973876,3.340973876,0
1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.84,523,523,18,18,2.433593992,2.433593992,0.084714206,0.084714206,541,541,2.518308198,2.518308198,0
1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.29,357,357,208,208,2.157823623,2.157823623,1.255369351,1.255369351,564,564,3.413192974,3.413192974,0
1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.85,696,696,212,212,2.143040378,2.143040378,0.651993228,0.651993228,908,908,2.795033605,2.795033605,0
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.01,208,208,135,135,1.417137156,1.417137156,0.920345555,0.920345555,344,344,2.337482711,2.337482711,0
1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.85,740,740,0,0,2.508620202,2.508620202,0,0,740,740,2.508620202,2.508620202,0
1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.84,276,276,115,115,1.79190501,1.79190501,0.748829953,0.748829953,391,391,2.540734963,2.540734963,0
1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.37,18,18,364,364,0.158557579,0.158557579,3.293467428,3.293467428,381,381,3.452025007,3.452025007,0
1494,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,59.9,0,0,285,290,0,0,4.757929883,4.841402337,285,290,4.757929883,4.841402337,0.083472454
1495,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,165.16,390,390,338,338,2.36033745,2.36033745,2.044683943,2.044683943,728,728,4.405021393,4.405021393,0
1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.75,614,614,360,360,3.866666666,3.866666666,2.267716535,2.267716535,974,974,6.134383202,6.134383202,0
1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.4,334,334,0,0,2.149292149,2.149292149,0,0,334,334,2.149292149,2.149292149,0
1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.78,406,406,475,475,1.566968081,1.566968081,1.833603833,1.833603833,880,880,3.400571914,3.400571914,0
1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.24,550,550,128,128,2.279196374,2.279196374,0.531420992,0.531420992,678,678,2.810617366,2.810617366,0
1500,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,150.63,270,275,378,378,1.792471619,1.825665538,2.507468632,2.507468632,648,653,4.299940251,4.33313417,0.033193919
1501,85,115,15,0,0,0,0,0,0,5,10,0,0,20,10,159.75,1144,1229,335,350,7.161189358,7.693270736,2.098904538,2.192801252,1479,1579,9.260093897,9.886071987,0.625978091
1502,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,170.56,281,286,155,155,1.648491245,1.677806442,0.910530019,0.910530019,436,441,2.559021263,2.58833646,0.029315197
1503,30,50,45,0,0,5,0,15,5,15,5,0,0,0,5,161.28,353,383,366,411,2.190806878,2.376818783,2.270585317,2.549603175,720,795,4.461392196,4.926421957,0.465029762
1504,25,35,0,0,0,0,0,0,0,0,0,0,0,10,5,161.72,405,430,0,0,2.502267293,2.656855471,0,0,405,430,2.502267293,2.656855471,0.154588177
1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.61,375,375,214,214,1.545003641,1.545003641,0.881249742,0.881249742,589,589,2.426253383,2.426253383,0
1506,15,5,40,5,5,5,0,5,10,5,5,0,0,5,5,241.07,462,477,1100,1140,1.917147163,1.979369754,4.562160368,4.728087278,1562,1617,6.479307532,6.707457032,0.2281495
1507,5,10,5,0,0,5,0,0,0,0,0,0,0,0,0,236.92,796,801,2897,2902,3.358376949,3.379481119,12.22902245,12.25012663,3693,3703,15.5873994,15.62960774,0.04220834
1508,40,45,60,10,5,0,0,10,5,10,20,0,0,5,10,163.51,618,658,1655,1715,3.779585346,4.024218702,10.11864718,10.48559721,2273,2373,13.89823252,14.50981591,0.611583389
1509,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,225.09,454,459,1045,1045,2.018451878,2.040665215,4.643475943,4.643475943,1500,1505,6.661927821,6.684141158,0.022213337
1510,15,10,0,0,0,0,0,0,0,0,0,0,0,5,0,179.77,287,302,0,0,1.598338618,1.681778569,0,0,287,302,1.598338618,1.681778569,0.083439951
1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.25,289,289,992,992,1.181166837,1.181166837,4.06223132,4.06223132,1281,1281,5.243398158,5.243398158,0
1512,5,5,10,0,0,0,0,5,0,0,5,0,0,5,0,276.8,555,560,717,727,2.005057803,2.023121387,2.591040462,2.62716763,1272,1287,4.596098266,4.650289017,0.054190751
1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.6,41,41,661,661,0.290114613,0.290114613,4.736389685,4.736389685,702,702,5.026504298,5.026504298,0
1518,10,25,25,0,5,0,0,5,5,5,5,0,0,0,5,255,1100,1110,312,337,4.31372549,4.352941176,1.221568627,1.319607843,1412,1447,5.535294118,5.67254902,0.137254902
1519,5,10,525,5,60,5,0,240,60,75,80,0,0,0,5,82.1,38,43,1480,2005,0.466910272,0.527811612,18.02070646,24.41534714,1518,2048,18.48761673,24.94315875,6.455542022
1520,20,55,40,0,5,0,0,20,10,0,5,0,0,10,5,28.61,158,178,114,154,5.522544565,6.221600839,3.974134918,5.372247466,272,332,9.496679483,11.5938483,2.097168822
1521,50,120,220,0,30,5,0,80,20,45,40,0,0,5,15,65.11,357,407,524,744,5.480468949,6.248400143,8.044847182,11.42374443,881,1151,13.52531613,17.67214458,4.146828444
