TAZID,P_TOTHH,P_HHPOP,P_TOTEMP,P_RETL,P_FOOD,P_MANU,P_WSLE,P_OFFI,P_GVED,P_HLTH,P_OTHR,P_FM_AGRI,P_FM_MING,P_FM_CONS,P_HBJ
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,80,195,200,10,15,5,0,100,30,15,25,0,0,40,20
1355,5,10,40,5,0,0,0,10,10,5,10,0,0,0,0
1356,5,10,10,0,0,0,0,5,0,0,5,0,0,5,0
1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,140,370,75,5,5,0,0,10,30,0,25,0,0,10,5
1361,155,415,315,15,5,5,5,25,115,0,145,0,0,0,0
1362,80,215,0,0,0,0,0,0,0,0,0,0,0,70,10
1363,265,660,65,5,0,5,0,5,35,5,10,0,0,0,50
1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,10,30,30,0,0,0,5,5,10,0,10,0,0,0,0
1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,50,120,0,0,0,0,0,0,0,0,0,0,0,5,5
1373,65,145,405,5,0,25,50,40,155,0,130,0,0,20,0
1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,0,0,55,0,0,5,10,10,25,0,5,0,0,0,0
1376,110,270,0,0,0,0,0,0,0,0,0,0,0,5,5
1377,115,290,15,0,0,5,0,5,5,0,0,0,0,5,5
1378,0,0,215,0,10,25,5,105,40,15,15,0,0,0,0
1379,95,235,0,0,0,0,0,0,0,0,0,0,0,5,5
1380,170,435,0,0,0,0,0,0,0,0,0,0,0,0,5
1381,120,300,35,0,5,0,0,15,5,5,5,0,0,10,5
1382,165,430,25,0,5,0,0,5,5,5,5,0,0,0,5
1383,25,90,25,0,5,0,0,5,5,5,5,0,0,0,5
1384,235,595,185,0,10,0,0,95,15,30,35,0,0,0,5
1385,60,190,0,0,0,0,0,0,0,0,0,0,0,5,5
1386,55,195,0,0,0,0,0,0,0,0,0,0,0,5,0
1387,60,160,10,0,0,0,0,5,0,5,0,0,0,0,0
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,55,150,0,0,0,0,0,0,0,0,0,0,0,10,5
1393,25,65,20,0,0,0,0,5,5,5,5,0,0,5,0
1394,135,340,225,25,25,0,0,30,55,25,65,0,0,20,5
1395,240,630,0,0,0,0,0,0,0,0,0,0,0,30,10
1396,210,550,10,0,0,0,0,0,10,0,0,0,0,5,5
1397,55,115,5,0,0,0,0,0,5,0,0,0,0,0,5
1398,15,25,5,0,0,0,0,0,0,5,0,0,0,0,5
1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,70,185,15,5,0,0,0,5,0,5,0,0,0,5,5
1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
