;TAZID,CO_TAZID,TOTHH,TOTEMP,DevAcres,HHDen_50,EMPDen_50
2854,492854,162,53,1953.19,0.08,0.03
2855,492855,111,98,2134.88,0.05,0.05
2856,492856,60,0,352.06,0.17,0.00
2857,492857,81,93,414.48,0.20,0.22
2858,492858,250,17,698.04,0.36,0.02
2859,492859,24,2,16775.42,0.00,0.00
2860,492860,1,0,8290.73,0.00,0.00
2861,492861,0,0,3677.77,0.00,0.00
2862,492862,29,2,3227.75,0.01,0.00
2863,492863,33,3,2562.49,0.01,0.00
2864,492864,195,65,2386.32,0.08,0.03
2865,492865,30,38,10193.91,0.00,0.00
2866,492866,53,0,4012.08,0.01,0.00
2867,492867,255,22,432.37,0.59,0.05
2868,492868,174,0,484.52,0.36,0.00
2869,492869,24,0,2528.49,0.01,0.00
2870,492870,148,58,0.00,0.00,0.00
2871,492871,112,0,0.00,0.00,0.00
2872,492872,0,0,0.00,0.00,0.00
2873,492873,1,0,0.00,0.00,0.00
