;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME,City
141,570141,436.5,1111.738066,2.546937151,2179.5,7.8,718.5,1453.2,3104.14304,0.5,7.333333333,715.3333333,3.166666667,32.5,1308,3.833333333,108.8333333,75.58515778,138.9787234,683.24295,26.83620845,60843,0,0,0,57,WEBER,Weber County
142,570142,203,514.893814,2.536422729,135.8,0.2,5.8,129.8,452.1669097,0,0.166666667,5.5,0.333333333,10.5,91,0.166666667,28.16666667,10.53470057,0,293.2966635,12.50221229,60843,0,0,0,57,WEBER,Weber County
143,570143,128.1666667,352.5366923,2.750611383,0.5,0.2,0,0.3,148.7078708,0,0.166666667,0,0,0,0,0.166666667,0.166666667,17.39264972,0,122.8142307,8.000990366,60843,0,0,0,57,WEBER,Weber County
144,570144,64.83333333,163.4029564,2.520354083,0,0,0,0,22.03333289,0,0,0,0,0,0,0,0,10.20135977,0,7.831390698,4.000582423,66989,0,0,0,57,WEBER,Plain City
145,570145,497,1316.555955,2.649005946,0,0,0,0,141.1766051,0,0,0,0,0,0,0,0,6.688490696,0,103.6508587,30.83725572,66989,0,0,0,57,WEBER,Plain City
146,570146,294.5,769.1260858,2.611633568,2.3,0,0.3,2,31.01747897,0,0,0.166666667,0.166666667,0.166666667,0.666666667,1,0.166666667,4.682338641,0,5.832422977,18.16938402,66989,0,0,0,57,WEBER,Plain City
147,570147,454.3333333,1216.004554,2.676459033,46.7,1.8,2.2,42.7,119.3598622,0.166666667,1.666666667,1.833333333,0.333333333,7.166666667,18.5,8.166666667,8.833333333,7.357402908,0,37.16582447,28.16996814,66989,0,0,0,57,WEBER,Weber County
148,570148,489.6666667,1293.039666,2.640652824,219.7,15,9.8,194.8,438.181018,13.66666667,1.333333333,0.833333333,9,8.333333333,162.5,8.333333333,15.66666667,3.010072642,0,185.167372,30.33690675,82188,0,0,0,57,WEBER,Plain City
149,570149,615.1666667,1680.213842,2.731314834,54.7,0.7,0.5,53.5,170.3404023,0.5,0.166666667,0.5,0,22.66666667,7.333333333,2.833333333,20.66666667,5.853480483,0,71.81559483,38.00466036,82191,0,0,0,57,WEBER,Weber County
150,570150,596.1666667,1766.247379,2.962673825,531,142.7,108.7,279.7,583.8336847,138,4.666666667,9.166666667,99.5,10.16666667,148,1.166666667,120.3333333,0,0,15.9961369,36.83754775,82684,0,0,0,57,WEBER,Farr West
